,r,opt_revenue_list,exp_revenue_list
76,8.463010621242468,245339.10284432847,[217676.94013155]
77,8.561206813627251,245273.576929429,[217771.99237994]
78,8.659403006011994,245859.81629105486,[218309.84473823]
79,8.75759919839681,245417.66414253975,[217852.56344498]
80,8.8557953907816,245116.29976804357,[217783.18577901]
81,8.953991583166323,245775.50694045558,[218122.55261775]
82,9.05218777555112,245714.6323990172,[218248.38683218]
83,9.15038396793588,246714.63292103566,[218854.79251005]
84,9.24858016032064,246196.36480379582,[218710.90895353]
85,9.346776352705453,245774.29201285064,[218681.53452619]
86,9.444972545090202,246845.08217858867,[218882.51201706]
87,9.543168737474943,247268.5401637702,[218660.86879576]
88,9.641364929859694,246279.53058198548,[218896.25410236]
89,9.739561122244488,245887.49475240134,[218705.99101931]
90,9.837757314629284,247027.8447263947,[219401.02003328]
91,9.935953507014064,246500.13440477455,[219491.56405269]
92,10.034149699398839,246580.75945545887,[219287.19778032]
93,10.13234589178354,245961.31054554612,[219012.06071497]
94,10.230542084168322,246642.50097325863,[219280.56846314]
95,10.328738276553066,246775.8777573132,[219409.99120327]
96,10.426934468937828,246509.18998137463,[219227.76886977]
97,10.525130661322693,247112.9664179131,[219476.49461597]
98,10.62332685370743,247229.4679607408,[219447.04399374]
99,10.721523046092132,247326.08224222861,[219425.02889585]
100,10.81971923847694,247631.92382483062,[219941.45158412]
101,10.917915430861733,246346.72759668002,[219317.96673143]
102,11.016111623246482,246929.63545950994,[219396.9615831]
103,11.114307815631271,247314.13557517243,[219628.01442914]
104,11.212504008015978,248045.37199450223,[220110.80664399]
105,11.310700200400733,247521.9268004559,[219937.49405254]
106,11.408896392785637,247068.31503009284,[219543.30219927]
107,11.507092585170298,248129.6714487681,[220085.61201316]
108,11.60528877755508,247487.39165089492,[219750.59447611]
109,11.703484969939877,247342.84443730666,[220098.16020475]
110,11.801681162324728,246980.80760221713,[219714.0041329]
111,11.899877354709382,246807.40293727914,[219509.5204679]
112,11.998073547094206,247502.30976352826,[219713.3765401]
113,12.096269739478927,247739.42301721382,[220058.81792214]
114,12.194465931863798,247244.18929132505,[219745.62392789]
115,12.29266212424845,248203.04112701706,[220160.1118649]
116,12.390858316633365,248112.77384956734,[220013.09833384]
117,12.489054509017963,248884.10486927838,[220508.22566649]
118,12.587250701402764,248673.021466824,[220759.44285018]
119,12.685446893787509,247722.9252948129,[220311.97036511]
120,12.78364308617242,248147.40260845658,[220566.78713354]
121,12.881839278556997,248167.84321227175,[220200.83617176]
