,step,u_m_list,rev_A_list,APX_rev_list,rev_A1_list,rev_A2_list,DAPX,APX_pareto1_list
30,2,601.009900990099,322.00212500340274,337.4245514426263,302.0,518.6975304249646,1.8664780581300446,1.7811682594539693
31,2,620.910891089109,334.44067434683024,349.80961001963345,312.0,536.6177636028028,1.8565651211586665,1.774996664769329
32,2,640.8118811881188,346.9394943890308,364.7883170723537,322.0,554.4088349662994,1.8470421832965565,1.7566677747001898
33,2,660.7128712871288,359.49652450858036,377.06365965104993,332.0,573.2205416594187,1.8378838910620932,1.752258151577321
34,2,680.6138613861386,372.1098268006386,389.8043693920737,342.0,591.5101282886973,1.8290671526683009,1.7460395901862313
35,2,700.5148514851486,384.77757580096966,404.8987705583134,352.0,609.5382785996725,1.820570884430899,1.7300987368255312
36,2,720.4158415841584,397.49804930699474,414.66341453456613,362.0,627.7999298568028,1.8123757911268858,1.7373508641768658
37,2,740.3168316831684,410.2696201622202,430.1128570502084,372.0,645.9582478652334,1.8044641750233612,1.7212153032587654
38,2,760.2178217821782,423.0907488636853,443.85002225066825,382.0,664.1288534621311,1.796819769337739,1.712780857658352
39,2,780.1188118811882,435.95997691613866,457.84570380585734,392.0,682.1300295103164,1.7894275924123466,1.7038902088551342
40,2,800.019801980198,448.87592081516533,468.86916199672316,402.0,700.314586241217,1.7822738197392058,1.706275154828351
41,2,819.920792079208,461.8372666170651,482.7232785719835,412.0,718.7237936927953,1.775345671182161,1.6985317022720332
42,2,839.8217821782179,474.8427649985917,499.123136943018,422.0,736.2684900857936,1.7686313114209682,1.6825943740494151
43,2,859.7227722772278,487.89122677104757,514.0225444289923,432.0,755.0745845436217,1.7621197617490043,1.6725390385985122
44,2,879.6237623762377,500.981518795557,529.2486511870368,442.0,773.2304380524799,1.755800821736897,1.662023626141237
45,2,899.5247524752476,514.1125602424144,543.0982551515762,452.0,791.2628426189332,1.7496649995306548,1.6562836354983217
46,2,919.4257425742575,527.2833191901352,557.7865974964515,462.0,809.7344943261788,1.7437034495732229,1.648346781190107
47,2,939.3267326732674,540.492809487064,569.4491200953285,472.0,827.7952742408855,1.7379079169706306,1.6495358400343472
48,2,959.2277227722773,553.7400878798838,585.757628830322,482.0,846.3389999656079,1.7322706875799663,1.6375846861571808
49,2,979.1287128712872,567.0242513791825,602.6945330289552,492.0,864.6012335573528,1.7267845431473807,1.6245853566158812
